	extended_tweet.full_text	retweet_count	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count
1398	RT @ChooseCommunity: We'll donate $1 to Amer. Heart Assoc. Merrimack Valley Walk 4 every new person that likes us on FB http://ht.ly/2kQwe	0	URTeacher	False	247	[]	Wed Aug 25 17:09:12 +0000 2010	0
1399	RT @ChooseCommunity: We'll donate $1 to Amer. Heart Assoc. Merrimack Valley Walk 4 every new person that likes us on FB http://ht.ly/2kQwe	0	leadsinger	False	524	[]	Wed Aug 25 17:08:00 +0000 2010	0
1400	Please RT We'll Donate 20% to the Evening Standard Newspaper Dispossessed Fund each time a print is SOLD http://bit.ly/b2P9JW @DISTINCVISION	1	DISTINCVISION	False	184	[]	Wed Aug 25 16:48:43 +0000 2010	0
1401	Stop Hunger Now! We will donate $1 to MAZON @stophunger for every new member of http://joyofkosher.com	4	joyofkosher	False	10233	[]	Fri Aug 20 01:12:59 +0000 2010	0
1402	lets do smthing guys what r we waiting for ..plant a tree each day and you will donate your children oxygen....save trees save life..:),	1	coolycoolypal	False	35	[]	Mon Aug 23 11:02:45 +0000 2010	0
1403	If you work in KPMG in UK, we really need your votes to become KPMG’s People Charity! KPMG will also donate £1 every vote to Barnardo’s.	1	BarnardosCFR	False	1319	[]	Wed Aug 25 09:00:04 +0000 2010	0
1404	Come Support Capital City Youth Services, enter code 2796 at our paystations and we will donate $3 for every... http://fb.me/Ejb2Unrd	1	SuperSudsTally	False	873	[]	Wed Aug 25 00:36:28 +0000 2010	0
1405	RT @joyofkosher: Stop Hunger Now! We will donate $1 to MAZON @stophunger for every new member of http://joyofkosher.com	0	JonathanEzor	False	5175	[]	Tue Aug 24 21:06:15 +0000 2010	0
1406	RT @Commonwealth_SF: The results are in: this week's beneficiary will be the SPCA! We'll donate $10 from each tasting menu to SFSPCA	0	girljo	False	414	[]	Tue Aug 24 19:50:18 +0000 2010	0
1407	Help me raise $$$ for @makeawish today? Vote for my panel w/ @ambercadabra at SXSW & we'll donate $1 for each tweet http://ar.gy/1Hh	6	jaybaer	True	276267	[]	Tue Aug 24 16:19:35 +0000 2010	0
1408	RT @JayBaer Help me raise $$$ 4 @makeawish today? Vote 4 my panel w/ @ambercadabra at SXSW & we'll donate $1 for each tweet http://ar.gy/1Hh	0	greennurture	False	1037	[]	Tue Aug 24 18:21:29 +0000 2010	0
1409	RT @JayBaer Help me raise $$$ 4 @makeawish today? Vote 4 my panel w/ @ambercadabra at SXSW & we'll donate $1 for each tweet http://ar.gy/1Hh	0	MaryNMcWilliams	False	1457	[]	Tue Aug 24 18:21:09 +0000 2010	0
1410	RT @jaybaer: Help me raise $ for @makeawish today? Vote for my panel w/ @ambercadabra at SXSW & we'll donate $1/each tweet http://ar.gy/1Hh	1	Ekaterina	True	160130	[]	Tue Aug 24 16:51:00 +0000 2010	0
1411	RT @jaybaer: Help me raise $ for @makeawish today? Vote for my panel w/ @ambercadabra at SXSW & we'll donate $1/each tweet http://ar.gy/1Hh	1	Ekaterina	True	160130	[]	Tue Aug 24 16:51:00 +0000 2010	0
1412	RT @AmberCadabra Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	0	jessostroff	False	3737	[]	Tue Aug 24 15:33:50 +0000 2010	0
1413	Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	4	AmberCadabra	True	66842	[]	Tue Aug 24 14:05:14 +0000 2010	0
1414	done. RT @AmberCadabra: Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	0	ThatCOO	False	2540	[]	Tue Aug 24 14:14:07 +0000 2010	1
1415	RT @AmberCadabra: Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	0	djambazov	False	3776	[]	Tue Aug 24 14:09:06 +0000 2010	0
1416	RT @AmberCadabra: Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	0	charityestrella	False	3710	[]	Tue Aug 24 14:08:28 +0000 2010	0
1417	RT @AmberCadabra: Help @jaybaer and me help @makeawish kids. We'll donate $1 for every vote for our SXSW panel: http://bit.ly/SXSWTNR	0	javilabbe	False	5376	[]	Tue Aug 24 14:08:13 +0000 2010	0
1418	RT @moonyyy: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	3	shooryyy	False	333	[{'text': 'Pakistan', 'indices': [125, 134]}]	Tue Aug 24 02:33:00 +0000 2010	0
1419	Help us aid the North Alabama Chapter of the Alzheimer's Association! For every new follower we'll donate $1 to the cause! Please RT!	0	BentleyAuto	False	89	[]	Tue Aug 24 12:00:13 +0000 2010	0
1420	RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	8	Lulwa	False	1002	[{'text': 'Pakistan', 'indices': [112, 121]}]	Tue Aug 24 00:40:48 +0000 2010	0
1421	RT @moonyyy: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	3	shooryyy	False	333	[{'text': 'Pakistan', 'indices': [125, 134]}]	Tue Aug 24 02:33:00 +0000 2010	0
1422	RT @Noor3alaNoor: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	Castelluca	False	303	[{'text': 'Pakistan', 'indices': [130, 139]}]	Tue Aug 24 02:30:16 +0000 2010	0
1423	RT @Mhawyy: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	moonyyy	False	772	[{'text': 'Pakistan', 'indices': [124, 133]}]	Tue Aug 24 02:18:58 +0000 2010	0
1424	RT @BoringBee: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	wadhamn	False	266	[{'text': 'Pakistan', 'indices': [127, 136]}]	Tue Aug 24 01:42:24 +0000 2010	0
1425	RT @79abi: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	doonala	False	2037	[{'text': 'Pakistan', 'indices': [123, 132]}]	Tue Aug 24 01:17:46 +0000 2010	0
1426	RT @HindTaryam: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	ButhainaAM	False	827	[{'text': 'Pakistan', 'indices': [128, 137]}]	Tue Aug 24 01:10:58 +0000 2010	0
1427	RT @Lulwa: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	Ammyyz	False	921	[{'text': 'Pakistan', 'indices': [123, 132]}]	Tue Aug 24 00:48:02 +0000 2010	0
1428	RT @ALAnoud_F RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	almohannadisara	False	292	[{'text': 'Pakistan', 'indices': [126, 135]}]	Tue Aug 24 00:46:19 +0000 2010	0
1429	RT @eMAlThani RT @emangine I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	Hayiaah	False	642	[{'text': 'Pakistan', 'indices': [125, 134]}]	Tue Aug 24 00:44:59 +0000 2010	0
1430	RT @79abi: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	79abi	False	205	[{'text': 'Pakistan', 'indices': [123, 132]}]	Tue Aug 24 00:44:52 +0000 2010	0
1431	RT @Lulwa: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	tloofy	False	489	[{'text': 'Pakistan', 'indices': [123, 132]}]	Tue Aug 24 00:44:27 +0000 2010	0
1432	RT @eMAlThani RT @emangine I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	a1johara	False	601	[{'text': 'Pakistan', 'indices': [125, 134]}]	Tue Aug 24 00:41:06 +0000 2010	0
1433	RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	8	Lulwa	False	1002	[{'text': 'Pakistan', 'indices': [112, 121]}]	Tue Aug 24 00:40:48 +0000 2010	0
1434	RT @Ador_: RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	Alanoud_F	False	899	[{'text': 'Pakistan', 'indices': [123, 132]}]	Tue Aug 24 00:38:53 +0000 2010	0
1435	"RT @DeeMcFierce ""RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan"""	0	Dalnuaimi	False	102	[{'text': 'Pakistan', 'indices': [129, 138]}]	Tue Aug 24 00:35:24 +0000 2010	0
1436	RT @emangine: I will donate 10QR to Pakistan for every time this is retweeted. Let's see how much we can raise. #Pakistan	0	79abi	False	205	[{'text': 'Pakistan', 'indices': [112, 121]}]	Tue Aug 24 00:28:05 +0000 2010	0
1437	In Lexington Park, Maryland? Join us at our newest location this week & we'll donate 50¢ for every burger sold to @N_C_M_E_C .	1	redrobinburgers	True	189392	[]	Mon Aug 23 23:05:33 +0000 2010	0
1438	RT @redrobinburgers n Lexington Park,Maryland? Join us @ our newest location this week & we'll donate 50¢ for every burger sold 2 @N_C_M_E_C	0	OrlandoFL407	False	21080	[]	Mon Aug 23 23:23:14 +0000 2010	0
1439	RT @46mommas: $952 away from $100K!! If 46 friends donate $21 each... we'll be there!! http://bit.ly/92YjvF #childhoodcancer...	0	bailann	False	1552	[{'text': 'childhoodcancer', 'indices': [108, 124]}]	Mon Aug 23 17:52:34 +0000 2010	0
1440	Help up envision a world without Alzheimer's! For each new follower we'll donate $1 to the Alzheimer's Association of North Alabama! Pls RT!	0	BentleyAuto	False	89	[]	Mon Aug 23 12:00:20 +0000 2010	0
1441	Have you signed yet? We'll donate $1 to @charitywater for each person who signs this petition: http://bit.ly/build-a-well	1	halogentv	False	26997	[]	Sun Aug 22 16:54:34 +0000 2010	0
1442	We will donate a dollar for every text donation today. Text WALK & number you want to donate (eg WALK5 to donate $5) to 27138  -ITZ	26	hansonmusic	True	148142	[]	Sat Aug 21 20:11:38 +0000 2010	1
1443	RT @100prayingwomen RT @giveatweet: We need more matchers - for #charitytuesday our sponsor will donate to every new match pledge crea...	0	ragabonds	False	510	[{'text': 'charitytuesday', 'indices': [64, 79]}]	Wed Jun 30 23:45:12 +0000 2010	0
1444	For every new friend we get on FB, we’ll donate $1 to Boys & Girls Clubs of America. Find us today & be sure to RT! http://bit.ly/bFVl9K ^LN	20	StaplesStores	True	295620	[]	Wed Jun 30 19:40:03 +0000 2010	1
1445	RT @StaplesTweets For every new friend we get on FB, we’ll donate $1 to Boys & Girls Clubs of America. http://bit.ly/bFVl9K ^LN	0	Vince_Miller	False	257	[]	Wed Jun 30 23:10:54 +0000 2010	0
1446	RT @So_Delicious: We'll donate $1 to @FarmSanctuary for every So Delicious Coconut UPC you send us through 9/30/10 http://twitpic.com/212bgx	0	kidshealthtips	False	9836	[]	Wed Jun 30 20:22:59 +0000 2010	0
1447	We'll donate $1 to @FarmSanctuary  for every So Delicious Coconut Milk UPC you send us through 9/30/10 up to $5K! http://twitpic.com/212bgx	3	So_Delicious	False	51734	[]	Wed Jun 30 20:02:37 +0000 2010	0
1448	RT @So_Delicious: We'll donate $1 2 @FarmSanctuary 4 each So Delicious Coconut Milk UPC sent til 9/30/10 -to $5K! http://twitpic.com/212bgx	0	RachDminor	False	1585	[]	Wed Jun 30 20:05:55 +0000 2010	0
1449	RT @McMark9: RT @StaplesTweets: For every new friend we get on FB, we’ll donate $1 to Boys & Girls Clubs (cont) http://tl.gd/27qpah	0	AdriMS	False	904	[]	Wed Jun 30 19:59:01 +0000 2010	0
1450	RT @StaplesTweets For every new friend we get on FB, we’ll donate $1 to Boys & Girls Clubs of America. Find us http://bit.ly/bFVl9K ^LN	0	TxTerriTips	False	3110	[]	Wed Jun 30 19:55:27 +0000 2010	0
